villes,fourmis,iterations,alpha,beta,Q,evaporation,meilleureDistance,tempsExecution
19,100,50,0.1,1.0,100.0,0.5,481.1047114394918,1.130257368000457
19,100,50,0.2,1.0,100.0,0.5,488.710456592684,1.0730820299995685
19,100,50,0.30000000000000004,1.0,100.0,0.5,430.9477798780174,1.0569120519994613
19,100,50,0.4,1.0,100.0,0.5,434.11802711258974,1.0496723329997621
19,100,50,0.5,1.0,100.0,0.5,443.5552337688405,1.0510370630008765
19,100,50,0.6,1.0,100.0,0.5,442.6579877313607,1.0475290770000356
19,100,50,0.7,1.0,100.0,0.5,425.7962222880015,1.0520434569998542
19,100,50,0.7999999999999999,1.0,100.0,0.5,412.74731439746813,1.0495703790002153
19,100,50,0.8999999999999999,1.0,100.0,0.5,412.17518387676074,1.043833351000103
19,100,50,0.9999999999999999,1.0,100.0,0.5,411.06831289885895,1.0480491030002668
19,100,50,1.0999999999999999,1.0,100.0,0.5,399.7764743598087,1.0437292380001963
