villes,fourmis,iterations,alpha,beta,Q,evaporation,meilleureDistance,tempsExecution
32,100,1,1.0,1.0,100.0,0.5,1069.4987493001715,0.0659636029995454
32,100,2,1.0,1.0,100.0,0.5,810.9066012274735,0.11951749999934691
32,100,3,1.0,1.0,100.0,0.5,749.7160592101978,0.17501385499963362
32,100,4,1.0,1.0,100.0,0.5,690.1275390681122,0.23382465099894034
32,100,5,1.0,1.0,100.0,0.5,651.3835712939355,0.29020093899998756
32,100,6,1.0,1.0,100.0,0.5,577.4253528814288,0.34710966300008295
32,100,7,1.0,1.0,100.0,0.5,594.7333773698368,0.40267299199877016
32,100,8,1.0,1.0,100.0,0.5,574.3230753376675,0.45338559199990414
32,100,9,1.0,1.0,100.0,0.5,593.5849646362936,0.5080985179993149
32,100,10,1.0,1.0,100.0,0.5,603.9118076261412,0.5598333529997035
32,100,11,1.0,1.0,100.0,0.5,605.4221106316209,0.6008234729997639
32,100,12,1.0,1.0,100.0,0.5,583.895539375362,0.6561170570003014
32,100,13,1.0,1.0,100.0,0.5,552.954307992271,0.7192808899999363
32,100,14,1.0,1.0,100.0,0.5,542.5874890768742,0.7644265960007033
32,100,15,1.0,1.0,100.0,0.5,559.2709541133892,0.8204308280000987
32,100,16,1.0,1.0,100.0,0.5,550.7442944485309,0.8694224989994837
32,100,17,1.0,1.0,100.0,0.5,533.0590567428998,0.9234901649997482
32,100,18,1.0,1.0,100.0,0.5,540.4857287753357,0.9820750449998741
32,100,19,1.0,1.0,100.0,0.5,541.794710649411,1.0368190499993943
32,100,20,1.0,1.0,100.0,0.5,542.1520998738715,1.0924647100000584
32,100,21,1.0,1.0,100.0,0.5,519.485926089528,1.1445716859998356
32,100,22,1.0,1.0,100.0,0.5,542.573585475732,1.1957450099998823
32,100,23,1.0,1.0,100.0,0.5,534.4013132276928,1.2535651939997479
32,100,24,1.0,1.0,100.0,0.5,553.9900161451346,1.3029540890001954
32,100,25,1.0,1.0,100.0,0.5,529.1421785312158,1.3610071090006386
32,100,26,1.0,1.0,100.0,0.5,543.0685556016673,1.4194771410002431
32,100,27,1.0,1.0,100.0,0.5,526.9376714543959,1.4696179350012244
32,100,28,1.0,1.0,100.0,0.5,535.48319878541,1.519995396000013
32,100,29,1.0,1.0,100.0,0.5,535.2374437661696,1.5798263019987644
32,100,30,1.0,1.0,100.0,0.5,524.1989335739381,1.6349041369994666
32,100,31,1.0,1.0,100.0,0.5,511.21533828377176,1.6861218419999204
32,100,32,1.0,1.0,100.0,0.5,524.2873465959467,1.7379377149991342
32,100,33,1.0,1.0,100.0,0.5,518.9748717268106,1.7923662280009012
32,100,34,1.0,1.0,100.0,0.5,530.1279646233112,1.849622438001461
32,100,35,1.0,1.0,100.0,0.5,516.2650690239374,1.898406629999954
32,100,36,1.0,1.0,100.0,0.5,524.9283770110202,1.9665819490001013
32,100,37,1.0,1.0,100.0,0.5,518.5928020209293,2.0039847560001363
32,100,38,1.0,1.0,100.0,0.5,533.2132579770072,2.066721465000228
32,100,39,1.0,1.0,100.0,0.5,512.2145665126487,2.119494950000444
32,100,40,1.0,1.0,100.0,0.5,536.8677496558682,2.1752662569997483
32,100,41,1.0,1.0,100.0,0.5,539.7501399157031,2.226116991001618
32,100,42,1.0,1.0,100.0,0.5,518.3187009924153,2.27920748500037
32,100,43,1.0,1.0,100.0,0.5,531.5383675610574,2.3379311299995607
32,100,44,1.0,1.0,100.0,0.5,527.4448576639868,2.3919620540000324
32,100,45,1.0,1.0,100.0,0.5,529.7757000800683,2.443732572000954
32,100,46,1.0,1.0,100.0,0.5,523.2041539842727,2.5068840439998894
32,100,47,1.0,1.0,100.0,0.5,530.4452101526713,2.5623136520007392
32,100,48,1.0,1.0,100.0,0.5,507.2791479759607,2.6099587400003657
32,100,49,1.0,1.0,100.0,0.5,527.2262734575853,2.6754969349985913
32,100,50,1.0,1.0,100.0,0.5,508.33397622650875,2.726731913000549
32,100,51,1.0,1.0,100.0,0.5,533.4941858291407,2.7669014419989253
32,100,52,1.0,1.0,100.0,0.5,498.9443584948101,2.8371291309995286
32,100,53,1.0,1.0,100.0,0.5,512.7978455261946,2.8771079369998915
32,100,54,1.0,1.0,100.0,0.5,522.7637784941933,2.9421735430005356
32,100,55,1.0,1.0,100.0,0.5,528.0569688568737,3.0273274190003576
32,100,56,1.0,1.0,100.0,0.5,536.0894474387219,3.4924171370003023
32,100,57,1.0,1.0,100.0,0.5,518.2626339436398,3.550299229000302
32,100,58,1.0,1.0,100.0,0.5,533.4181035713475,3.6795135909997043
32,100,59,1.0,1.0,100.0,0.5,539.8390388022303,3.679017520000343
32,100,60,1.0,1.0,100.0,0.5,538.257468898606,3.735313589000725
32,100,61,1.0,1.0,100.0,0.5,515.8637753878346,3.8111955969998235
32,100,62,1.0,1.0,100.0,0.5,532.0179031480156,3.865842766001151
32,100,63,1.0,1.0,100.0,0.5,519.7587663558174,3.795250463001139
32,100,64,1.0,1.0,100.0,0.5,527.9360102387075,3.8156323230014095
